 '127.0.0.1' , '/html1.html' ,[Tue, 01 Dec 2020 09:38:21 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//HTMLFile.html' ,[Tue, 01 Dec 2020 09:39:53 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Tue, 01 Dec 2020 09:39:53 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Tue, 01 Dec 2020 09:39:53 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Tue, 01 Dec 2020 09:40:18 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//HTMLFile.html' ,[Tue, 01 Dec 2020 09:42:16 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Tue, 01 Dec 2020 09:42:16 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Tue, 01 Dec 2020 09:42:16 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Tue, 01 Dec 2020 09:42:25 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Tue, 01 Dec 2020 09:42:39 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//FullColour.gif' ,[Tue, 01 Dec 2020 09:43:33 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//cssFile.css' ,[Tue, 01 Dec 2020 09:44:09 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//HTMLFile.html' ,[Tue, 16 Feb 2021 13:58:43 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Tue, 16 Feb 2021 13:58:43 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Tue, 16 Feb 2021 13:58:43 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Tue, 16 Feb 2021 14:00:09 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//HTMLFile.html' ,[Tue, 16 Feb 2021 14:47:26 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Tue, 16 Feb 2021 14:47:26 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Tue, 16 Feb 2021 14:47:27 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Tue, 16 Feb 2021 14:48:43 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//cssFile.css' ,[Tue, 16 Feb 2021 14:49:48 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//HTMLFile.html' ,[Mon, 22 Feb 2021 07:48:29 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Mon, 22 Feb 2021 07:48:29 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Mon, 22 Feb 2021 07:48:29 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Panda.jpg' ,[Mon, 22 Feb 2021 07:48:30 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Mon, 22 Feb 2021 07:48:30 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//Koala.jpg' ,[Mon, 22 Feb 2021 07:48:30 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//cssFile.css' ,[Mon, 22 Feb 2021 07:48:55 GMT] 
 '127.0.0.1' , 'DESKTOP-O80VGM2:8080//HTMLFile.html' ,[Mon, 22 Feb 2021 07:49:07 GMT] 
